inc86,inc88,inc90,v86,v88,v90,v86_adj,v88_adj,v90_adj,recog86,recog88,recog90
1,1,1,0.7450361740979591,0.772442744081804,0.7140294263663851,0.7450361740979591,0.772442744081804,0.7140294263663851,0.4537861336531443,2.0952068847076415,-0.2538048670808208
1,1,1,0.6738454515169839,0.636181649511077,0.597050117324879,0.6738454515169839,0.636181649511077,0.597050117324879,0.6027013805236615,0.4557736846403084,1.5275709866173095
1,1,0,0.6964566497239189,0.66492833910019,0.5210433265217089,0.6964566497239189,0.66492833910019,0.5210433265217089,0.5049432104627581,0.6566087189667673,0.1918744836991141
-1,-1,-1,0.464590079813606,0.27383419943613296,0.234377037541475,0.464590079813606,0.27383419943613296,0.234377037541475,-0.5021630675314285,-1.8296605825956023,-1.8194485339591955
-1,-1,0,0.39109451661678,0.263613098798692,0.47743927885819204,0.39109451661678,0.263613098798692,0.47743927885819204,0.6333568674036757,-0.9475479381657791,0.7207646571093845
-1,-1,-1,0.35824535710373206,0.33419269486164,0.256297006846463,0.35824535710373206,0.33419269486164,0.256297006846463,-1.3558178060102273,-0.3783788552303916,-0.390280195794106
0,1,0,0.548597979361392,0.632175271586222,0.6019665372640141,0.548597979361392,0.632175271586222,0.6019665372640141,0.777176150250892,0.9721195884538668,0.4979528834220041
-1,-1,-1,0.226702844311377,0.33790359299218103,0.48971497094364,0.226702844311377,0.33790359299218103,0.48971497094364,-1.152696396739508,-1.165837817437811,0.21220678312307464
-1,-1,-1,0.22181596587446697,0.172718111718303,0.22438374348499399,0.22181596587446697,0.172718111718303,0.22438374348499399,-1.2689697405799973,-0.6773376811316341,-1.5626572625592887
1,1,1,0.6593966172902099,1.0,1.0,0.6593966172902099,0.75,0.75,1.0974919354456554,0.6550782126481405,0.7690728490816756
1,1,1,1.0,1.0,1.0,0.75,0.75,0.75,1.2576406619691276,0.7364344069356191,0.8566334301995565
1,1,1,1.0,0.7031318613032851,0.655346302648828,0.75,0.7031318613032851,0.655346302648828,0.41469474919072785,1.3928713331728857,1.2642203547394768
1,1,1,1.0,1.0,0.521810754133747,0.75,0.75,0.521810754133747,0.692480686895681,0.5378548133869373,0.8322614645384466
1,1,1,1.0,0.6971066872294749,0.650585502547274,0.75,0.6971066872294749,0.650585502547274,2.958240133460913,1.238819347914152,0.023276572345408784
1,1,1,1.0,1.0,1.0,0.75,0.75,0.75,0.4182620652197233,0.4771069792596078,1.0185272393314273
0,1,1,0.722179283693327,0.8043491975677108,0.761452524136927,0.722179283693327,0.8043491975677108,0.761452524136927,0.7244171266966528,1.7758087193449763,0.6344402427095878
1,1,1,1.0,1.0,1.0,0.75,0.75,0.75,-0.5995658900804246,0.593716032952404,1.1480131883517461
