Name,Position,Team,ProjectedPoints,Price
Sean Renfree,QB,ATL,0.0,1.0
David Johnson,RB,ARI,273.5,94.3
Le'Veon Bell,RB,PIT,246.1,76.6
LeSean McCoy,RB,BUF,199.7,52.1
Jordan Howard,RB,CHI,192.8,50.0
Ezekiel Elliott,RB,DAL,152.3,49.1
Devonta Freeman,RB,ATL,190.6,48.2
Melvin Gordon,RB,LAC,188.4,45.7
Jay Ajayi,RB,MIA,181.7,43.5
DeMarco Murray,RB,TEN,178.9,41.9
Todd Gurley,RB,LAR,168.6,35.5
Leonard Fournette,RB,JAC,166.0,34.4
Lamar Miller,RB,HOU,160.8,30.3
Marshawn Lynch,RB,OAK,152.7,25.1
Isaiah Crowell,RB,CLE,150.9,24.5
Carlos Hyde,RB,SFO,146.0,20.8
Mark Ingram,RB,NOS,142.1,18.9
Christian McCaffrey,RB,CAR,141.1,18.2
Dalvin Cook,RB,MIN,145.3,18.1
Joe Mixon,RB,CIN,138.4,16.1
Ty Montgomery,RB,GBP,140.9,14.9
Bilal Powell,RB,NYJ,135.2,14.2
Kareem Hunt,RB,KCC,134.4,12.8
Mike Gillislee,RB,NEP,130.0,11.0
Ameer Abdullah,RB,DET,129.0,10.4
Frank Gore,RB,IND,129.3,10.1
Tevin Coleman,RB,ATL,130.3,9.2
C.J. Anderson,RB,DEN,128.8,7.9
Doug Martin,RB,TBB,105.1,7.0
Eddie Lacy,RB,SEA,119.8,6.9
Paul Perkins,RB,NYG,120.3,6.3
Terrance West,RB,BAL,120.1,5.5
LeGarrette Blount,RB,PHI,117.0,5.4
Rob Kelley,RB,WAS,114.2,4.3
Spencer Ware,RB,KCC,115.5,4.3
Matt Forte,RB,NYJ,112.2,3.5
Darren McFadden,RB,DAL,96.1,3.1
Jonathan Stewart,RB,CAR,111.7,2.9
Adrian Peterson,RB,NOS,104.5,2.1
Danny Woodhead,RB,BAL,107.0,2.0
Derrick Henry,RB,TEN,104.6,1.6
Theo Riddick,RB,DET,104.2,1.3
Darren Sproles,RB,PHI,98.3,1.3
Duke Johnson,RB,CLE,102.6,1.1
James White,RB,NEP,91.9,1.0
Jamaal Charles,RB,DEN,86.8,1.0
Giovani Bernard,RB,CIN,83.3,1.0
Chris Thompson,RB,WAS,82.2,1.0
Jeremy Hill,RB,CIN,78.9,1.0
C.J. Prosise,RB,SEA,78.3,1.0
Thomas Rawls,RB,SEA,78.2,1.0
Latavius Murray,RB,MIN,76.0,1.0
Charles Sims,RB,TBB,74.9,1.0
Shane Vereen,RB,NYG,72.5,1.0
Samaje Perine,RB,WAS,71.4,1.0
Jamaal Williams,RB,GBP,71.4,1.0
Rex Burkhead,RB,NEP,70.9,1.0
Jacquizz Rodgers,RB,TBB,69.8,1.0
Dion Lewis,RB,NEP,68.3,1.0
Robert Turbin,RB,IND,66.9,1.0
Jonathan Williams,RB,BUF,66.4,1.0
DeAndre Washington,RB,OAK,65.9,1.0
Tim Hightower,RB,SFO,62.5,1.0
Jalen Richard,RB,OAK,59.6,1.0
Alvin Kamara,RB,NOS,58.5,1.0
Marlon Mack,RB,IND,57.0,1.0
D'Onta Foreman,RB,HOU,55.3,1.0
Devontae Booker,RB,DEN,54.9,1.0
T.J. Yeldon,RB,JAC,53.8,1.0
Joe Williams,RB,SFO,53.3,1.0
Charcandrick West,RB,KCC,46.9,1.0
Damien Williams,RB,MIA,44.8,1.0
Jerick McKinnon,RB,MIN,44.0,1.0
Zach Zenner,RB,DET,43.9,1.0
Chris Johnson,RB,ARI,42.1,1.0
Wendell Smallwood,RB,PHI,41.1,1.0
Chris Ivory,RB,JAC,40.6,1.0
Alfred Morris,RB,DAL,40.2,1.0
Branden Oliver,RB,LAC,37.6,1.0
Javorius Allen,RB,BAL,34.5,1.0
Jeremy Langford,RB,CHI,33.8,1.0
Matt Asiata,RB,DET,32.7,1.0
Alfred Blue,RB,HOU,32.2,1.0
Donnel Pumphrey,RB,PHI,32.1,1.0
Matt Jones,RB,WAS,30.3,1.0
James Conner,RB,PIT,30.2,1.0
Tarik Cohen,RB,CHI,30.2,1.0
Kenyan Drake,RB,MIA,29.5,1.0
Kyle Juszczyk,RB,SFO,27.3,1.0
Orleans Darkwa,RB,NYG,27.2,1.0
Christopher Carson,RB,SEA,26.5,1.0
Aaron Ripkowski,RB,GBP,26.4,1.0
Wayne Gallman,RB,NYG,25.9,1.0
Kerwynn Williams,RB,ARI,24.4,1.0
Mike Tolbert,RB,BUF,23.8,1.0
John Kuhn,RB,NOS,23.8,1.0
Andre Ellington,RB,ARI,23.2,1.0
Malcolm Brown,RB,LAR,22.0,1.0
Elijah McGuire,RB,NYJ,20.6,1.0
Lance Dunbar,RB,LAR,20.0,1.0
Tre Mason,RB,FA,19.9,1.0
Marcel Reece,RB,SEA,19.3,1.0
Aaron Jones,RB,GBP,18.7,1.0
Elijah Hood,RB,OAK,17.7,1.0
Benny Cunningham,RB,CHI,17.6,1.0
Cameron Artis-Payne,RB,CAR,17.5,1.0
C.J. Spiller,RB,KCC,16.3,1.0
DuJuan Harris,RB,JAC,16.3,1.0
Shaun Draughn,RB,NYG,16.3,1.0
Travaris Cadet,RB,NOS,16.1,1.0
Chris Carson,RB,SEA,15.7,1.0
David Cobb,RB,FA,15.6,1.0
Andre Williams,RB,LAC,15.3,1.0
Fozzy Whittaker,RB,CAR,15.1,1.0
Dwayne Washington,RB,DET,14.1,1.0
Fitzgerald Toussaint,RB,PIT,13.3,1.0
Peyton Barber,RB,TBB,13.1,1.0
Brian Hill,RB,ATL,12.8,1.0
Jonathan Grimes,RB,JAC,12.5,1.0
Jamize Olawale,RB,OAK,12.2,1.0
Matt Breida,RB,SFO,11.7,1.0
Ka'Deem Carey,RB,CHI,11.5,1.0
Terron Ward,RB,ATL,11.2,1.0
Kenjon Barner,RB,LAC,11.1,1.0
Kenneth Farrow,RB,LAC,10.9,1.0
Andy Janovich,RB,DEN,10.6,1.0
Alex Collins,RB,SEA,10.3,1.0
Ronnie Hillman,RB,DAL,10.0,1.0
Senorise Perry,RB,MIA,9.0,1.0
Storm Johnson,RB,MIA,9.0,1.0
De'Angelo Henderson,RB,DEN,8.3,1.0
Corey Grant,RB,JAC,8.3,1.0
Lorenzo Taliaferro,RB,BAL,8.0,1.0
Kapri Bibbs,RB,SFO,7.9,1.0
Jeremy McNichols,RB,TBB,7.8,1.0
Bobby Rainey,RB,BAL,7.6,1.0
Mack Brown,RB,WAS,7.1,1.0
Austin Johnson,RB,TBB,6.6,1.0
Joe Banyard,RB,BUF,6.5,1.0
Josh Ferguson,RB,IND,6.4,1.0
Terrell Watson,RB,PIT,6.3,1.0
Akeem Hunt,RB,HOU,6.3,1.0
Patrick DiMarco,RB,BUF,6.2,1.0
Tyler Ervin,RB,HOU,6.2,1.0
Mike Davis,RB,SEA,6.2,1.0
Derek Watt,RB,LAC,6.0,1.0
Darrel Young,RB,CAR,5.9,1.0
Khalfani Muhammad,RB,TEN,5.8,1.0
Jalston Fowler,RB,TEN,5.6,1.0
Cedric Peerman,RB,CIN,5.5,1.0
Rod Smith,RB,DAL,5.0,1.0
Juwan Thompson,RB,DEN,5.0,1.0
Brandon Wilds,RB,CLE,4.5,1.0
Dan Vitale,RB,CLE,4.4,1.0
Taiwan Jones,RB,BUF,4.3,1.0
Aaron Green,RB,LAR,4.2,1.0
Matthew Dayes,RB,CLE,4.1,1.0
Knile Davis,RB,PIT,3.9,1.0
D.J. Foster,RB,NEP,3.8,1.0
Devante Mays,RB,GBP,3.7,1.0
Stevan Ridley,RB,DEN,3.6,1.0
Joe Kerridge,RB,GBP,3.5,1.0
Daniel Lasco,RB,NOS,3.4,1.0
Raheem Mostert,RB,SFO,3.3,1.0
James Develin,RB,NEP,3.3,1.0
John Crockett,RB,OAK,3.2,1.0
Brandon Bolden,RB,NEP,3.0,1.0
Jay Prosch,RB,HOU,3.0,1.0
Byron Marshall,RB,PHI,2.9,1.0
Keith Smith,RB,DAL,2.9,1.0
T.J. Logan,RB,ARI,2.8,1.0
Cedric O'Neal,RB,BUF,2.7,1.0
Roosevelt Nix,RB,PIT,2.7,1.0
Ryan Hewitt,RB,CIN,2.6,1.0
C.J. Ham,RB,MIN,2.6,1.0
Zach Line,RB,NOS,2.5,1.0
Troymaine Pope,RB,IND,2.5,1.0
Anthony Sherman,RB,KCC,2.4,1.0
George Atkinson,RB,OAK,2.4,1.0
Tra Carson,RB,CIN,2.3,1.0
Bronson Hill,RB,MIN,1.8,1.0
Dexter McCluster,RB,LAC,1.7,1.0
Marquez Williams,RB,JAC,1.3,1.0
Marcus Murphy,RB,NYJ,1.3,1.0
Sam Rogers,RB,LAR,1.0,1.0
Michael Burton,RB,CHI,0.9,1.0
Jordan Todman,RB,HOU,0.7,1.0
George Winn,RB,NYG,0.1,1.0
Chase Reynolds,RB,FA,0.1,1.0
Kenny Hilliard,RB,HOU,0.0,1.0
Tyler Clutts,RB,DAL,0.0,1.0
Joique Bell,RB,DET,0.0,1.0
James Starks,RB,GBP,0.0,1.0
Boobie Dixon,RB,BUF,0.0,1.0
Toby Gerhart,RB,JAC,0.0,1.0
Ben Tate,RB,PIT,0.0,1.0
Antone Smith,RB,TBB,0.0,1.0
Marcus Thigpen,RB,BUF,0.0,1.0
Jorvorskie Lane,RB,TBB,0.0,1.0
Rashad Jennings,RB,NYG,0.0,1.0
Arian Foster,RB,MIA,0.0,1.0
Donald Brown,RB,NEP,0.0,1.0
Justin Forsett,RB,DEN,0.0,1.0
Jerome Felton,RB,BUF,0.0,1.0
Pierre Thomas,RB,WAS,0.0,1.0
Ahmad Bradshaw,RB,IND,0.0,1.0
Fred Jackson,RB,SEA,0.0,1.0
DeAngelo Williams,RB,PIT,0.0,1.0
Reggie Bush,RB,BUF,0.0,1.0
Steven Jackson,RB,NEP,0.0,1.0
Trey Williams,RB,PIT,0.0,1.0
Stanley Williams,RB,DEN,0.0,1.0
Kelvin Taylor,RB,ATL,0.0,1.0
De'Veon Smith,RB,MIA,0.0,1.0
Bishop Sankey,RB,MIN,0.0,1.0
Brandon Radcliff,RB,TEN,0.0,1.0
Elijhaa Penny,RB,ARI,0.0,1.0
Dare Ogunbowale,RB,HOU,0.0,1.0
Christine Michael,RB,IND,0.0,1.0
Ryan Mathews,RB,PHI,0.0,1.0
I'Tavius Mathers,RB,JAC,0.0,1.0
Keith Marshall,RB,WAS,0.0,1.0
Tre Madden,RB,SEA,0.0,1.0
Akeem Judd,RB,TEN,0.0,1.0
Malcolm Johnson,RB,SEA,0.0,1.0
Mike James,RB,DET,0.0,1.0
Darius Jackson,RB,CLE,0.0,1.0
Russell Hansbrough,RB,TBB,0.0,1.0
Tyler Gaffney,RB,JAC,0.0,1.0
David Fluellen,RB,TEN,0.0,1.0
Austin Ekeler,RB,LAC,0.0,1.0
Kenneth Dixon,RB,BAL,0.0,1.0
Corey Clement,RB,PHI,0.0,1.0
Zac Brooks,RB,DEN,0.0,1.0
Alexander Armah,RB,CAR,0.0,1.0
Jahad Thomas,RB,NYJ,-0.1,1.0
Justin Davis,RB,LAR,-0.1,1.0
Stepfan Taylor,RB,FA,-0.2,1.0
Taquan Mizzell,RB,BAL,-0.2,1.0
J.D. McKissic,RB,SEA,-0.2,1.0
Brandon Burks,RB,FA,-0.8,1.0
Khiry Robinson,RB,FA,-1.0,1.0
Antonio Brown,WR,PIT,194.6,55.3
Julio Jones,WR,ATL,187.8,51.3
Odell Beckham,WR,NYG,175.7,44.8
Jordy Nelson,WR,GBP,174.2,44.4
Mike Evans,WR,TBB,166.7,40.0
A.J. Green,WR,CIN,161.1,37.5
Michael Thomas,WR,NOS,157.5,35.7
Dez Bryant,WR,DAL,151.8,31.2
T.Y. Hilton,WR,IND,150.8,30.3
Doug Baldwin,WR,SEA,145.1,27.5
Amari Cooper,WR,OAK,142.6,26.3
Brandin Cooks,WR,NEP,143.6,26.1
DeAndre Hopkins,WR,HOU,137.1,23.1
Demaryius Thomas,WR,DEN,133.5,21.5
Allen Robinson,WR,JAC,134.8,21.0
Alshon Jeffery,WR,PHI,129.1,18.9
Terrelle Pryor,WR,WAS,129.4,18.8
Michael Crabtree,WR,OAK,130.9,18.3
Tyreek Hill,WR,KCC,129.2,17.9
Golden Tate,WR,DET,127.1,17.7
Davante Adams,WR,GBP,125.8,17.3
Kelvin Benjamin,WR,CAR,126.4,16.9
Keenan Allen,WR,LAC,125.1,15.9
Larry Fitzgerald,WR,ARI,123.1,15.4
Emmanuel Sanders,WR,DEN,125.7,15.2
Sammy Watkins,WR,LAR,123.3,15.1
Jarvis Landry,WR,MIA,120.7,12.8
Willie Snead,WR,NOS,117.5,12.2
Martavis Bryant,WR,PIT,118.9,11.7
Jamison Crowder,WR,WAS,116.9,10.8
Brandon Marshall,WR,NYG,111.5,9.0
Kenny Britt,WR,CLE,113.0,8.3
Randall Cobb,WR,GBP,113.4,8.2
Pierre Garcon,WR,SFO,110.9,7.9
Julian Edelman,WR,NEP,111.8,7.7
Stefon Diggs,WR,MIN,111.5,7.0
Eric Decker,WR,TEN,109.7,6.0
DeVante Parker,WR,MIA,108.1,5.5
Donte Moncrief,WR,IND,107.4,4.7
DeSean Jackson,WR,TBB,106.2,4.4
Mike Wallace,WR,BAL,105.1,4.3
Jeremy Maclin,WR,BAL,104.4,4.1
Tyrell Williams,WR,LAC,103.4,3.5
Cameron Meredith,WR,CHI,102.6,3.5
Ted Ginn Jr.,WR,NOS,102.0,3.4
Rishard Matthews,WR,TEN,102.3,2.9
Jordan Matthews,WR,BUF,100.6,2.7
Robby Anderson,WR,NYJ,95.5,1.7
Marvin Jones,WR,DET,95.6,1.7
Adam Thielen,WR,MIN,93.2,1.5
Corey Davis,WR,TEN,95.7,1.4
Corey Coleman,WR,CLE,93.8,1.3
John Brown,WR,ARI,95.8,1.3
Zay Jones,WR,BUF,87.8,1.3
Chris Hogan,WR,NEP,91.8,1.2
Cole Beasley,WR,DAL,86.6,1.1
Sterling Shepard,WR,NYG,89.5,1.0
Mohamed Sanu,WR,ATL,86.1,1.0
Tyler Lockett,WR,SEA,86.6,1.0
Kevin White,WR,CHI,86.1,1.0
Kenny Stills,WR,MIA,85.9,1.0
Taylor Gabriel,WR,ATL,84.8,1.0
J.J. Nelson,WR,ARI,83.0,1.0
Torrey Smith,WR,PHI,80.3,1.0
Allen Hurns,WR,JAC,79.2,1.0
Marqise Lee,WR,JAC,77.2,1.0
Breshad Perriman,WR,BAL,77.1,1.0
Terrance Williams,WR,DAL,75.6,1.0
Devin Funchess,WR,CAR,75.0,1.0
Tavon Austin,WR,LAR,68.4,1.0
Josh Doctson,WR,WAS,68.1,1.0
Kenny Golladay,WR,DET,67.1,1.0
Brandon LaFell,WR,CIN,66.9,1.0
ArDarius Stewart,WR,NYJ,64.9,1.0
Chris Conley,WR,KCC,64.4,1.0
Kendall Wright,WR,CHI,64.1,1.0
Marquise Goodwin,WR,SFO,62.7,1.0
Robert Woods,WR,LAR,59.9,1.0
John Ross,WR,CIN,59.1,1.0
Jeremy Kerley,WR,SFO,57.8,1.0
Seth Roberts,WR,OAK,56.8,1.0
Curtis Samuel,WR,CAR,54.1,1.0
Nelson Agholor,WR,PHI,53.3,1.0
Tyler Boyd,WR,CIN,52.1,1.0
Eli Rogers,WR,PIT,51.4,1.0
Charone Peake,WR,NYJ,50.7,1.0
Cooper Kupp,WR,LAR,49.8,1.0
Markus Wheaton,WR,CHI,49.5,1.0
Adam Humphries,WR,TBB,49.1,1.0
Travis Benjamin,WR,LAC,48.9,1.0
Will Fuller,WR,HOU,48.8,1.0
Danny Amendola,WR,NEP,47.9,1.0
Albert Wilson,WR,KCC,47.8,1.0
Laquon Treadwell,WR,MIN,47.6,1.0
Paul Richardson,WR,SEA,46.6,1.0
Jermaine Kearse,WR,SEA,46.0,1.0
Phillip Dorsett,WR,IND,45.2,1.0
Brandon Coleman,WR,NOS,44.3,1.0
Braxton Miller,WR,HOU,43.3,1.0
Malcolm Mitchell,WR,NEP,42.9,1.0
Cecil Shorts,WR,FA,40.4,1.0
Dontrelle Inman,WR,LAC,38.2,1.0
Andre Holmes,WR,BUF,36.6,1.0
Carlos Henderson,WR,DEN,35.9,1.0
Jaelen Strong,WR,HOU,35.8,1.0
Mike Williams,WR,LAC,34.2,1.0
Jaron Brown,WR,ARI,34.1,1.0
Chris Godwin,WR,TBB,32.8,1.0
Victor Cruz,WR,CHI,32.2,1.0
Kamar Aiken,WR,IND,32.0,1.0
Brice Butler,WR,DAL,31.0,1.0
Justin Hardy,WR,ATL,30.7,1.0
JuJu Smith-Schuster,WR,PIT,30.4,1.0
Russell Shepard,WR,CAR,30.1,1.0
Cordarrelle Patterson,WR,OAK,29.8,1.0
Jalin Marshall,WR,NYJ,29.6,1.0
Chester Rogers,WR,IND,29.3,1.0
Geronimo Allison,WR,GBP,29.2,1.0
Ricardo Louis,WR,CLE,28.8,1.0
Dede Westbrook,WR,JAC,28.1,1.0
Stevie Johnson,WR,FA,27.4,1.0
Michael Floyd,WR,MIN,27.2,1.0
Aldrick Robinson,WR,SFO,25.8,1.0
Brian Quick,WR,WAS,25.7,1.0
Taywan Taylor,WR,TEN,25.4,1.0
Deonte Thompson,WR,CHI,25.4,1.0
Andrew Hawkins,WR,NEP,23.8,1.0
Sammie Coates,WR,PIT,23.3,1.0
Rod Streater,WR,BUF,22.3,1.0
Cobi Hamilton,WR,PIT,21.6,1.0
Chad Williams,WR,ARI,21.1,1.0
Vincent Jackson,WR,TBB,20.7,1.0
Chad Hansen,WR,NYJ,20.1,1.0
T.J. Jones,WR,DET,19.8,1.0
Rashard Higgins,WR,CLE,19.0,1.0
Corey Brown,WR,BUF,18.9,1.0
Jarius Wright,WR,MIN,18.7,1.0
Justin Hunter,WR,PIT,18.7,1.0
Michael Campanaro,WR,BAL,17.9,1.0
Kenbrell Thompkins,WR,NYJ,17.8,1.0
Darrius Heyward-Bey,WR,PIT,17.5,1.0
Tajae Sharpe,WR,TEN,17.4,1.0
Roger Lewis,WR,NYG,17.4,1.0
Bennie Fowler,WR,DEN,17.0,1.0
Jordan Taylor,WR,DEN,15.5,1.0
Chris Harper,WR,NYJ,15.3,1.0
Cody Latimer,WR,DEN,15.0,1.0
Chris Moore,WR,BAL,14.9,1.0
Demarcus Robinson,WR,KCC,14.8,1.0
Ryan Grant,WR,WAS,14.7,1.0
Lucky Whitehead,WR,NYJ,14.6,1.0
Kenny Bell,WR,BAL,14.2,1.0
Javontee Herndon,WR,LAC,14.0,1.0
Eddie Royal,WR,CHI,13.9,1.0
Tanner McEvoy,WR,SEA,13.7,1.0
Andre Roberts,WR,ATL,13.6,1.0
Brandon Tate,WR,BUF,12.9,1.0
Quinton Patton,WR,NYJ,12.8,1.0
Tavarres King,WR,NYG,12.3,1.0
Josh Reynolds,WR,LAR,11.8,1.0
Pharoh Cooper,WR,LAR,11.7,1.0
Myles White,WR,NYJ,11.6,1.0
Josh Huff,WR,TBB,11.3,1.0
Greg Salas,WR,FA,11.2,1.0
Cody Core,WR,CIN,10.8,1.0
Walter Powell,WR,BUF,10.8,1.0
Mack Hollins,WR,PHI,10.8,1.0
Rashad Greene,WR,JAC,10.7,1.0
Nick Williams,WR,ATL,10.6,1.0
Ryan Switzer,WR,DAL,10.6,1.0
Leonte Carroo,WR,MIA,10.4,1.0
Brenton Bersin,WR,CAR,10.4,1.0
Jace Billingsley,WR,DET,10.1,1.0
Jonathan Krause,WR,TEN,9.9,1.0
Ishmael Zamora,WR,OAK,9.8,1.0
Seantavius Jones,WR,KCC,9.7,1.0
Josh Bellamy,WR,CHI,9.3,1.0
Trent Taylor,WR,SFO,9.2,1.0
Austin Carr,WR,NEP,9.1,1.0
Dwayne Harris,WR,NYG,8.8,1.0
Harry Douglas,WR,TEN,8.7,1.0
Jeff Janis,WR,GBP,8.7,1.0
Jehu Chesson,WR,KCC,8.6,1.0
Jake Lampman,WR,NOS,8.5,1.0
Darius Jennings,WR,TEN,8.4,1.0
Arrelious Benn,WR,JAC,8.2,1.0
David Moore,WR,SEA,8.2,1.0
Rodney Adams,WR,MIN,8.2,1.0
Freddie Martino,WR,TBB,8.1,1.0
Tevaun Smith,WR,IND,8.0,1.0
Keshawn Martin,WR,DET,7.8,1.0
Isaac Fruechte,WR,MIN,7.8,1.0
Bruce Ellington,WR,HOU,7.8,1.0
Corey Fuller,WR,NOS,7.6,1.0
Aaron Dobson,WR,ARI,7.5,1.0
Wendall Williams,WR,HOU,7.5,1.0
Daniel Braverman,WR,CHI,7.3,1.0
Demarcus Ayers,WR,PIT,7.3,1.0
Noah Brown,WR,DAL,7.2,1.0
Mario Alford,WR,CLE,7.2,1.0
Chris Matthews,WR,BAL,7.2,1.0
Robert Davis,WR,WAS,7.1,1.0
Paul Turner,WR,PHI,7.0,1.0
Shane Wynn,WR,JAC,6.9,1.0
Eric Weems,WR,TEN,6.9,1.0
Jeremy Butler,WR,BUF,6.5,1.0
Jared Abbrederis,WR,DET,6.5,1.0
De'Anthony Thomas,WR,KCC,6.4,1.0
Tommylee Lewis,WR,NOS,6.2,1.0
Isaiah Burse,WR,LAC,6.2,1.0
DeAndre Smelter,WR,SFO,6.1,1.0
Aaron Burbridge,WR,SFO,6.0,1.0
Frankie Hammond,WR,NYJ,6.0,1.0
Bryce Treggs,WR,PHI,6.0,1.0
Dezmin Lewis,WR,BUF,5.7,1.0
Amara Darboh,WR,SEA,5.7,1.0
